"","id","text","lang","author_id","created_at","clean_text"
"1","1581455536892956672","Yes, and Ebola can have an incubation period of up to 21 days. WHY is travel still allowed in and out of Uganda since this started? Also, there are already 2 cases/deaths in the capital of Kampala this last week, something they weren't expecting. https://t.co/4SKUXqx0O1","en","1311820506434138112","2022-10-16T01:22:36.000Z","yes and ebola can have an incubation period of up todays why is travel still allowed in and out of uganda since this staed also there are alreadycasesdeaths in the capital of kampala this last week something they werent expecting"
"2","1581455521051467777","@RoryBurnside WHO stuff
https://t.co/iOyvPAGOa1","en","1407861716579356675","2022-10-16T01:22:32.000Z","who stuff "
"3","1581455415560503296","@AdamRintala I’d assume that the conspiracy theory infrastructure would churn out various screeds on how DJT was poisoned by Soros, radiated by the CIA, fed Ebola enriched broken glass by a Deep Stater, aspirated while being force fed kale by The Squad….","en","828842984812724224","2022-10-16T01:22:07.000Z","id assume that the conspiracy theory infrastructure would churn out various screeds on how djt was poisoned by soros radiated by the cia fed ebola enriched broken glass by a deep stater aspirated while being force fed kale by the squad"
"4","1581455154058256384","@RoryBurnside Being in a place with an ebola outbreak then fever etc","en","1407861716579356675","2022-10-16T01:21:05.000Z","being in a place with an ebola outbreak then fever etc"
"5","1581455117240238081","@gchahal @KagutaMuseveni Is this what Hunt is planning for Britain that winter is approaching?! They’ve not trialled Ebola in Britain yet have they?!","en","302885498","2022-10-16T01:20:56.000Z","is this what hunt is planning for britain that winter is approaching theyve not trialled ebola in britain yet have they"
"6","1581454976937000960","@BNOFeed Global planetary lockdown NOW!

Close schools for 5 years!

Start on that underground bunker! 

Monkeypox + ebola worse than the asteroid for dinos! 

🤣🤣🤣🦕🦕🦕","en","1479002645759086593","2022-10-16T01:20:23.000Z","global planetary lockdown now  close schools foryears  sta on that underground bunker   monkeypoxebola worse than the asteroid for dinos   "
"7","1581454943365779457","Uganda Locks Down Two Districts To Halt Spread Of Ebola https://t.co/LOClZsaz9E","en","1329064981145415681","2022-10-16T01:20:15.000Z","uganda locks down two districts to halt spread ofebola"
"8","1581454921102397443","@yourmomisgreen8 @TrulyTelesis @bluebirdmuppet @flora_38657 Dear God... it's so damn similar. I'm so sorry🥲 and the boasting is also the same. 

""Being a member of xx, changed my life. their miracle products saved my son from ebola + cataratcs. Now i made into platinum leadership and can buy my own private jet. Join us. Only 999.99$""","en","160077611","2022-10-16T01:20:09.000Z","dear god its so damn similar im so sorry  and the boasting is also the same   being a member of xx changed my life their miracle products saved my son from ebolacataratcs now i made into platinum leadership and can buy my own private jet join us only"
"9","1581454917189111808","I’d rather work with Ebola patients than stay in Birmingham a minute longer.","en","270991233","2022-10-16T01:20:08.000Z","id rather work with ebola patients than stay in birmingham a minute longer"
"10","1581454698443264000","@Will83756176 What are symptoms of Ebola?","en","734188074","2022-10-16T01:19:16.000Z","what are symptoms of ebola"
